Area_km2_2013_01_01,bounds_ne_lat_google_2015_05_28,bounds_ne_lng_google_2015_05_28,bounds_sw_lat_google_2015_05_28,bounds_sw_lng_google_2015_05_28,Folkmängd_2015_03_31,Hav_km2_2013_01_01,Kommunkod_2011_2012,Land_km2_2013_01_01,location_lat_google_2015_05_28,location_lng_google_2015_05_28,Län_2011_2012,Namn_2011_2012,Sjö_km2_2013_01_01,Täthet_inv_km2_2013_01_01
331.55,58.1137351,12.4445669,57.8067941,12.0055011,28435,0,1440,316.51,57.988605,12.2344546,Västra Götalands län,Ale kommun,15.04,89.84
551.17,58.0869811,12.817512,57.7928401,12.3760749,39284,0,1489,472.03,57.9799652,12.5557707,Västra Götalands län,Alingsås kommun,79.14,83.22
1074.26,56.915449,14.5858261,56.886719,14.5146531,19507,0,764,974.19,56.8992104,14.5560006,Kronobergs län,Alvesta kommun,100.07,20.02
553.89,57.849852,14.8278439,57.8250111,14.789236,6429,0,604,517.76,57.838521,14.8178021,Jönköpings län,Aneby kommun,36.13,12.42
419.37,59.41416,15.9107909,59.373032,15.8011301,13655,0,1984,325.43,59.3936883,15.8381747,Västmanlands län,Arboga kommun,6,41.96
14494.09,66.0557289,17.9137616,66.03603,17.8361258,2909,0,2506,12556.77,66.0515051,17.8900543,Norrbottens län,Arjeplogs kommun,1937.32,0.23
6126.32,65.3184807,21.4001671,65.3126918,21.317374,6482,0,2505,5655.97,65.3165601,21.3567714,Norrbottens län,Arvidsjaurs kommun,470.35,1.15
1956.13,59.762078,12.7258871,59.5627009,12.162078,25718,0,1784,1649.06,59.6424649,12.4570024,Värmlands län,Arvika kommun,307.07,15.6
1019.74,58.9010429,14.926394,58.8766011,14.8942199,11152,0,1882,815.99,58.8894268,14.9109867,Örebro län,Askersunds kommun,60.88,13.67
669.08,62.280241,16.739265,59.852169,12.1331131,22163,0,2084,613.25,61.0917012,14.6663653,Dalarnas län,Avesta kommun,55.83,36.14
1059.19,59.048552,12.2483019,59.013731,12.1865241,9587,0,1460,882.93,59.028612,12.226943,Västra Götalands län,Bengtsfors kommun,176.26,10.86
6145.45,63.081067,14.878175,62.289538,12.070339,7096,0,2326,5711.34,62.7724812,14.1698666,Jämtlands län,Bergs kommun,434.11,1.24
1363.77,63.938525,19.24159,63.919804,19.1977812,2457,0,2403,1306.75,63.9304056,19.2192125,Västerbottens län,Bjurholms kommun,57.02,1.88
115.75,56.08614918,12.91614258,56.08345122,12.91344462,14882,0,1260,115.28,56.0848002,12.9147936,Skåne län,Bjuvs kommun,0.47,129.09
4285.13,65.8555831,21.781993,65.7888981,21.5470054,27839,0,2582,4007.86,65.8251188,21.6887028,Norrbottens län,Bodens kommun,277.27,6.95
282.39,57.653409,12.6190536,57.554222,12.5226181,8648,0,1443,263.19,57.6005306,12.5891024,Västra Götalands län,Bollebygds kommun,19.2,32.86
1976.7,61.377742,16.4424279,61.322606,16.3288508,26464,0,2183,1814.35,61.3483795,16.3942685,Gävleborgs län,Bollnäs kommun,162.35,14.59
3654.83,56.8868909,16.6841911,56.866457,16.6436681,10667,2972.72,885,678.65,56.8802297,16.6562355,Kalmar län,Borgholms kommun,3.46,15.72
635.81,60.539025,15.5445468,60.4135011,15.350771,50912,0,2081,583.87,60.484304,15.433969,Dalarnas län,Borlänge kommun,51.94,87.2
967.54,57.5121391,13.1120116,57.496565,13.1079961,107395,0,1490,909.9,57.5044942,13.1104746,Västra Götalands län,Borås kommun,57.64,118.03
222.32,59.2640638,17.94174,59.175961,17.7542463,89142,12.75,127,194.17,59.2459411,17.8408583,Stockholms län,Botkyrka kommun,10.06,459.09
